"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG"
"NIFTY 50","23,150.30","23,306.50","23,145.80","23,332.35","23,265.45","-","-66.90","-0.29","20,48,81,599","16,829.66","26,277.35","21,281.45","5.48","3.92"
"POWERGRID","289.35","298.60","285.10","286.75","296.30","-","9.55","3.33","1,35,68,343","398.99","366.25","247.30","13.56","2.58"
"CIPLA","1,482.00","1,523.30","1,480.00","1,452.35","1,499.45","-","47.10","3.24","30,53,231","458.47","1,702.05","1,317.25","3.18","-2.49"
"SUNPHARMA","1,755.00","1,812.70","1,750.00","1,713.65","1,768.65","-","55.00","3.21","46,27,588","827.64","1,960.35","1,377.20","8.11","5.63"
"SHRIRAMFIN","633.00","660.55","632.00","639.40","658.45","-","19.05","2.98","27,48,339","179.14","730.45","438.60","2.91","-74.07"
"ULTRACEMCO","11,189.00","11,514.35","11,155.00","11,250.95","11,500.00","-","249.05","2.21","1,78,898","204.43","12,145.35","9,250.00","8.80","12.08"
"NTPC","351.75","361.35","351.75","351.75","359.45","-","7.70","2.19","78,82,641","282.10","448.45","292.80","11.88","2.02"
"ADANIENT","2,339.75","2,429.90","2,339.70","2,369.40","2,416.30","-","46.90","1.98","8,06,833","193.80","3,743.90","2,025.00","11.92","-27.51"
"BEL","283.00","288.25","282.60","282.40","287.35","-","4.95","1.75","1,60,59,839","458.67","340.50","212.60","9.72","27.78"
"ASIANPAINT","2,295.00","2,352.50","2,289.80","2,306.65","2,341.05","-","34.40","1.49","4,01,814","93.81","3,394.90","2,124.75","6.47","-19.75"
"GRASIM","2,595.10","2,664.00","2,595.10","2,616.50","2,652.45","-","35.95","1.37","2,41,488","63.79","2,877.75","2,171.60","10.05","13.45"
"NESTLEIND","2,198.05","2,239.00","2,195.00","2,210.70","2,238.25","-","27.55","1.25","1,98,854","44.11","2,778.00","2,110.00","1.15","-15.73"
"TITAN","3,071.00","3,151.00","3,068.00","3,098.45","3,130.70","-","32.25","1.04","9,15,043","286.38","3,867.00","2,971.15","0.53","-17.51"
"INDUSINDBK","694.95","714.70","693.50","702.45","709.15","-","6.70","0.95","55,84,277","394.88","1,576.35","606.00","-28.61","-54.95"
"SBIN","770.00","784.70","769.95","775.95","781.95","-","6.00","0.77","60,07,450","467.45","912.00","680.00","11.60","1.25"
"TATACONSUM","1,049.90","1,075.25","1,048.10","1,062.70","1,070.55","-","7.85","0.74","12,70,964","135.74","1,250.10","882.90","11.41","-6.05"
"DRREDDY","1,190.50","1,226.90","1,151.00","1,150.00","1,158.25","-","8.25","0.72","53,24,084","631.80","1,421.49","1,092.45","2.72","-81.56"
"EICHERMOT","5,265.00","5,408.30","5,265.00","5,355.50","5,394.15","-","38.65","0.72","1,18,077","63.44","5,575.50","3,886.10","9.15","36.54"
"ADANIPORTS","1,170.25","1,205.80","1,170.25","1,195.45","1,203.00","-","7.55","0.63","9,75,403","116.47","1,621.40","995.65","13.52","-14.86"
"JIOFIN","227.00","231.79","226.50","229.78","231.18","-","1.40","0.61","88,58,971","203.49","394.70","198.65","14.36","-35.65"
"TRENT","5,630.00","5,751.00","5,610.00","5,682.50","5,711.55","-","29.05","0.51","7,42,875","423.94","8,345.00","3,843.00","14.87","46.01"
"AXISBANK","1,078.90","1,091.95","1,075.30","1,084.45","1,088.30","-","3.85","0.36","39,06,639","425.05","1,339.65","933.50","7.66","3.56"
"ZOMATO","208.15","214.00","208.00","212.03","212.28","-","0.25","0.12","3,21,19,593","679.84","304.70","146.30","-4.55","15.80"
"COALINDIA","395.00","400.00","393.20","397.50","397.80","-","0.30","0.08","38,80,858","154.20","543.55","349.25","10.31","-10.31"
"LT","3,400.00","3,463.00","3,393.00","3,419.90","3,422.30","-","2.40","0.07","8,92,462","306.73","3,963.50","3,141.00","6.96","-10.18"
"HDFCLIFE","688.50","697.80","675.00","696.15","696.20","-","0.05","0.01","11,17,416","77.33","761.20","511.40","12.65","10.17"
"HINDUNILVR","2,225.45","2,252.90","2,220.60","2,237.90","2,236.70","-","-1.20","-0.05","8,92,821","199.92","3,035.00","2,136.00","2.80","-2.13"
