symbol,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,yearLow,30DayChange 
NIFTY 50,23150.3,23306.5,23145.8,23250.1,23332.35,-82.25,-0.35,283196379,235012375040.04,26277.35,21281.45,
POWERGRID,289.35,299.95,285.1,299.95,286.75,13.2,4.6,23478876,6949277718.48,366.25,247.3,
SUNPHARMA,1755,1812.7,1750,1772,1713.65,58.35,3.41,5715573,10200868911.75,1960.35,1377.2,
CIPLA,1482,1523.3,1480,1500,1452.35,47.65,3.28,3488899,5236802510.01,1702.05,1317.25,
ULTRACEMCO,11189,11650.05,11155,11595.1,11250.95,344.15,3.06,361884,4164702206.76,12145.35,9250,
SHRIRAMFIN,633,660.55,632,654.1,639.4,14.7,2.3,3704676,2417449277.04,730.45,438.6,
NTPC,351.75,361.35,351.75,359.25,351.75,7.5,2.13,10317410,3694251824.6,448.45,292.8,
ADANIENT,2339.75,2429.9,2339.7,2414,2369.4,44.6,1.88,1023200,2459711408,3743.9,2025,
BEL,283,288.25,282.6,287.5,282.4,5.1,1.81,20968721,5997054206,340.5,212.6,
ASIANPAINT,2295,2354.9,2289.8,2347.7,2306.65,41.05,1.78,608846,1424437836.22,3394.9,2124.75,
GRASIM,2595.1,2664,2595.1,2652,2616.5,35.5,1.36,298330,788626405.1,2877.75,2171.6,
NESTLEIND,2198.05,2249.05,2195,2240,2210.7,29.3,1.33,317858,708162195.36,2778,2110,
INDUSINDBK,694.95,714.7,693.5,708.6,702.45,6.15,0.88,6972769,4933094612.12,1576.35,606,
TITAN,3071,3151,3068,3125,3098.45,26.55,0.86,1115568,3491259301.44,3867,2971.15,
TATACONSUM,1049.9,1075.25,1048.1,1068.65,1062.7,5.95,0.56,1595000,1704321300,1250.1,882.9,
SBIN,770,784.7,769.95,779.9,775.95,3.95,0.51,7956680,6193797979.2,912,680,
AXISBANK,1078.9,1091.95,1075.3,1089.9,1084.45,5.45,0.5,5345660,5818002517.6,1339.65,933.5,
ADANIPORTS,1170.25,1205.8,1170.25,1201.3,1195.45,5.85,0.49,1300511,1554643854.51,1621.4,995.65,
JIOFIN,227,231.79,226.5,230.64,229.78,0.86,0.37,11752612,2701572920.44,394.7,198.65,
EICHERMOT,5265,5408.3,5265,5372.5,5355.5,17,0.32,224286,1205911807.62,5575.5,3886.1,
HINDUNILVR,2225.45,2252.9,2220.6,2241.65,2237.9,3.75,0.17,1310088,2935212861.36,3035,2136,
